,DateTime,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,AgeOutcomeYear,AgeOutcomeMonth,AgeOutcomeWeek
0,2014-02-12 18:22:00,3,1,2,365,1221,130,1,12,52
1,2013-10-13 12:44:00,2,0,3,365,640,167,1,12,52
2,2015-01-31 12:28:00,0,1,2,730,1066,86,2,24,104
3,2014-07-11 19:09:00,4,0,1,21,640,42,0,0,3
4,2013-11-15 12:52:00,4,1,2,730,914,274,2,24,104
5,2014-04-25 13:04:00,4,1,0,30,369,36,0,1,4
6,2015-03-28 13:11:00,4,0,1,21,640,63,0,0,3
7,2015-04-30 17:02:00,4,0,4,21,640,104,0,0,3
8,2014-02-04 17:17:00,0,1,3,150,45,250,0,5,21
9,2014-05-03 07:48:00,0,1,3,365,364,318,1,12,52
10,2013-12-05 15:50:00,4,0,4,730,640,5,2,24,104
11,2013-11-04 14:48:00,0,1,3,730,980,263,2,24,104
12,2016-02-03 11:27:00,0,1,2,1460,1066,88,4,48,208
13,2015-06-08 16:30:00,3,1,2,730,1365,33,2,24,104
14,2015-11-25 15:00:00,3,1,2,365,764,338,1,12,52
15,2014-07-12 12:10:00,0,0,2,90,640,220,0,3,12
16,2014-05-03 16:15:00,4,0,1,21,640,104,0,0,3
17,2014-06-07 12:54:00,4,1,0,14,1066,130,0,0,2
18,2014-05-17 11:32:00,4,0,0,730,72,318,2,24,104
19,2014-07-30 17:34:00,3,1,2,365,681,5,1,12,52
20,2014-01-19 15:03:00,4,1,1,60,1158,38,0,2,8
21,2015-09-18 15:19:00,4,0,3,365,640,318,1,12,52
22,2015-08-15 14:22:00,0,1,3,730,1109,98,2,24,104
23,2013-10-28 16:32:00,0,1,2,300,696,130,0,10,42
24,2014-04-09 17:44:00,3,1,2,60,696,25,0,2,8
25,2015-10-03 15:44:00,4,0,0,30,640,216,0,1,4
26,2016-01-15 17:31:00,0,1,3,180,55,165,0,6,25
27,2015-03-25 18:50:00,0,1,3,1825,450,353,5,60,260
28,2015-11-21 13:01:00,0,0,3,60,640,168,0,2,8
29,2015-07-30 14:30:00,3,0,2,2555,1207,41,7,85,365
30,2016-01-01 13:57:00,2,0,3,1095,640,139,3,36,156
31,2015-07-15 15:25:00,4,1,1,120,847,38,0,4,17
32,2014-07-03 17:01:00,0,0,3,60,640,291,0,2,8
33,2013-11-08 13:24:00,3,1,2,1825,540,114,5,60,260
34,2015-04-11 16:01:00,4,1,2,1095,450,88,3,36,156
35,2013-12-06 14:55:00,2,1,1,1095,847,358,3,36,156
36,2013-10-24 11:22:00,3,1,2,1095,1066,130,3,36,156
37,2014-07-02 13:37:00,4,0,1,60,640,86,0,2,8
38,2015-08-11 00:00:00,4,0,2,120,640,38,0,4,17
39,2015-07-14 12:16:00,4,0,1,21,640,104,0,0,3
40,2015-04-04 17:26:00,0,0,3,2555,640,63,7,85,365
41,2015-06-23 13:25:00,4,0,1,60,640,216,0,2,8
42,2013-12-09 15:04:00,4,0,0,60,640,104,0,2,8
43,2014-01-21 15:15:00,4,0,1,1460,632,38,4,48,208
44,2014-05-28 15:52:00,0,0,2,730,640,38,2,24,104
45,2014-08-27 07:50:00,3,1,2,4380,166,307,12,146,625
46,2014-08-05 11:15:00,3,0,3,3285,640,320,9,109,469
47,2015-05-05 11:46:00,4,0,0,21,640,5,0,0,3
48,2015-03-09 17:57:00,0,1,3,150,696,25,0,5,21
49,2013-10-30 15:37:00,2,1,1,2190,1091,165,6,73,312
50,2014-07-28 09:00:00,4,0,0,365,640,296,1,12,52
51,2015-10-19 18:58:00,0,0,3,90,640,104,0,3,12
52,2014-06-26 17:16:00,4,0,0,21,640,68,0,0,3
53,2015-05-14 12:07:00,0,1,2,730,234,204,2,24,104
54,2014-11-18 16:05:00,0,0,3,60,640,220,0,2,8
55,2015-10-04 15:02:00,4,0,1,7,640,5,0,0,1
56,2015-08-16 13:52:00,0,0,3,60,640,139,0,2,8
57,2014-07-18 16:23:00,4,1,1,365,450,274,1,12,52
58,2014-09-16 14:05:00,3,1,3,1460,214,276,4,48,208
59,2014-07-07 12:38:00,0,1,2,730,577,130,2,24,104
60,2015-08-19 13:32:00,4,0,1,365,640,220,1,12,52
61,2014-05-09 18:07:00,2,1,3,4015,1365,114,11,133,573
62,2015-10-06 15:07:00,4,0,0,30,640,5,0,1,4
63,2015-09-23 11:45:00,0,1,3,730,559,289,2,24,104
64,2014-07-17 17:31:00,4,0,4,14,640,5,0,0,2
65,2015-10-27 18:32:00,3,1,3,2190,924,318,6,73,312
66,2014-12-08 15:53:00,4,1,2,180,1116,38,0,6,25
67,2015-09-08 15:31:00,4,1,0,60,662,131,0,2,8
68,2015-06-16 09:00:00,4,0,4,60,640,111,0,2,8
69,2014-05-10 18:18:00,0,1,3,365,450,226,1,12,52
70,2014-04-30 17:55:00,0,1,2,60,1329,88,0,2,8
71,2016-01-29 14:53:00,4,1,2,730,1066,98,2,24,104
72,2014-03-25 18:15:00,0,1,3,1095,718,318,3,36,156
73,2015-08-18 11:32:00,3,0,0,365,640,5,1,12,52
74,2013-12-28 16:17:00,3,1,3,1460,1365,84,4,48,208
75,2015-08-19 14:28:00,4,1,3,730,391,274,2,24,104
76,2014-06-22 17:22:00,0,0,3,90,631,104,0,3,12
77,2014-03-21 17:09:00,2,0,0,365,640,139,1,12,52
78,2015-06-07 16:07:00,0,1,2,60,515,5,0,2,8
79,2015-12-20 19:38:00,4,0,3,730,640,38,2,24,104
80,2015-12-17 12:10:00,0,1,2,365,449,318,1,12,52
81,2015-09-22 12:10:00,2,0,4,14,640,63,0,0,2
82,2015-05-30 18:56:00,4,0,4,28,1251,260,0,0,4
83,2015-10-12 09:00:00,4,0,1,730,640,63,2,24,104
84,2015-02-09 17:17:00,2,1,2,4380,1066,89,12,146,625
85,2014-09-14 18:51:00,0,1,2,365,577,130,1,12,52
86,2015-07-18 15:37:00,0,0,2,60,640,5,0,2,8
87,2015-07-14 15:04:00,4,0,1,14,640,5,0,0,2
88,2014-04-26 18:00:00,4,1,0,90,847,38,0,3,12
89,2013-11-18 15:56:00,0,0,3,90,637,139,0,3,12
90,2015-12-15 14:16:00,0,1,2,150,1105,98,0,5,21
91,2016-02-07 14:54:00,0,1,3,1095,322,5,3,36,156
92,2014-04-10 11:49:00,4,1,3,2555,908,320,7,85,365
93,2015-02-06 18:56:00,2,1,3,730,696,36,2,24,104
94,2014-12-29 15:11:00,0,0,3,120,640,5,0,4,17
95,2015-11-15 14:06:00,0,1,3,3285,192,329,9,109,469
96,2015-12-06 15:12:00,4,1,2,210,249,38,0,7,30
97,2014-07-14 19:28:00,0,0,2,60,640,38,0,2,8
98,2014-10-24 09:00:00,4,0,1,1095,640,38,3,36,156
99,2015-01-14 16:18:00,0,1,2,1095,280,194,3,36,156
100,2014-05-29 17:43:00,0,1,2,1825,450,289,5,60,260
101,2016-01-28 12:05:00,4,1,2,1825,307,98,5,60,260
102,2013-10-16 11:50:00,4,0,0,14,637,41,0,0,2
103,2015-07-26 14:40:00,4,0,4,14,640,5,0,0,2
104,2014-01-30 14:41:00,4,0,3,1460,640,291,4,48,208
105,2015-04-08 18:06:00,3,1,2,1460,365,289,4,48,208
106,2015-07-19 18:27:00,0,0,2,60,640,104,0,2,8
107,2013-12-20 12:02:00,3,1,3,730,450,36,2,24,104
108,2014-03-23 18:43:00,0,1,2,730,626,318,2,24,104
109,2014-03-29 11:26:00,3,1,2,3285,559,25,9,109,469
110,2014-02-11 18:16:00,3,1,2,1825,167,307,5,60,260
111,2013-12-06 16:53:00,2,1,2,365,463,362,1,12,52
112,2013-10-20 16:37:00,0,1,3,730,1066,185,2,24,104
113,2014-05-06 15:59:00,4,0,1,21,640,104,0,0,3
114,2015-07-06 15:48:00,4,1,1,150,1066,329,0,5,21
115,2015-01-26 16:23:00,2,0,1,2190,640,216,6,73,312
116,2014-03-22 15:38:00,0,1,3,365,450,274,1,12,52
117,2015-11-05 00:00:00,4,1,1,90,450,38,0,3,12
118,2015-10-24 18:29:00,4,0,0,30,632,139,0,1,4
119,2015-05-03 16:59:00,3,1,3,1095,450,88,3,36,156
120,2014-04-14 17:00:00,3,1,2,1825,559,5,5,60,260
121,2014-05-26 11:22:00,0,1,2,2920,988,5,8,97,417
122,2014-09-21 14:15:00,0,1,3,60,847,38,0,2,8
123,2014-11-14 11:57:00,2,0,0,2555,640,296,7,85,365
124,2014-10-03 18:43:00,0,0,0,60,640,5,0,2,8
125,2014-09-11 17:03:00,0,1,2,1825,1065,5,5,60,260
126,2016-01-31 17:22:00,0,1,2,365,1066,329,1,12,52
